郵便番号,地方公共団体コード,都道府県,市区町村
0600000,01101,北海道,札幌市中央区
0010000,01102,北海道,札幌市北区
0650000,01103,北海道,札幌市東区
0030000,01104,北海道,札幌市白石区
0620000,01105,北海道,札幌市豊平区
0050000,01106,北海道,札幌市南区
0630000,01107,北海道,札幌市西区
0040000,01108,北海道,札幌市厚別区
0060000,01109,北海道,札幌市手稲区
0040000,01110,北海道,札幌市清田区
0400000,01202,北海道,函館市
0470000,01203,北海道,小樽市
0700000,01204,北海道,旭川市
0500000,01205,北海道,室蘭市
0850000,01206,北海道,釧路市
0800000,01207,北海道,帯広市
0900000,01208,北海道,北見市
0680400,01209,北海道,夕張市
0680000,01210,北海道,岩見沢市
0930000,01211,北海道,網走市
0770000,01212,北海道,留萌市
0530000,01213,北海道,苫小牧市
0970000,01214,北海道,稚内市
0720000,01215,北海道,美唄市
0750000,01216,北海道,芦別市
0670000,01217,北海道,江別市
0791100,01218,北海道,赤平市
0940000,01219,北海道,紋別市
0950000,01220,北海道,士別市
0960000,01221,北海道,名寄市
0682100,01222,北海道,三笠市
0870000,01223,北海道,根室市
0660000,01224,北海道,千歳市
0730000,01225,北海道,滝川市
0730100,01226,北海道,砂川市
0730400,01227,北海道,歌志内市
0740000,01228,北海道,深川市
0760000,01229,北海道,富良野市
0590000,01230,北海道,登別市
0611400,01231,北海道,恵庭市
0520000,01233,北海道,伊達市
0611100,01234,北海道,北広島市
0613200,01235,北海道,石狩市
0490100,01236,北海道,北斗市
0610200,01303,北海道,石狩郡当別町
0681100,01304,北海道,石狩郡新篠津村
0491500,01331,北海道,松前郡松前町
0491300,01332,北海道,松前郡福島町
0491100,01333,北海道,上磯郡知内町
0490400,01334,北海道,上磯郡木古内町
0411100,01337,北海道,亀田郡七飯町
0411400,01343,北海道,茅部郡鹿部町
0492300,01345,北海道,茅部郡森町
0493100,01346,北海道,二海郡八雲町
0493500,01347,北海道,山越郡長万部町
0430000,01361,北海道,檜山郡江差町
0490600,01362,北海道,檜山郡上ノ国町
0431100,01363,北海道,檜山郡厚沢部町
0430100,01364,北海道,爾志郡乙部町
0431400,01367,北海道,奥尻郡奥尻町
0494300,01370,北海道,瀬棚郡今金町
0494500,01371,北海道,久遠郡せたな町
0480600,01391,北海道,島牧郡島牧村
0480400,01392,北海道,寿都郡寿都町
0480100,01393,北海道,寿都郡黒松内町
0481300,01394,北海道,磯谷郡蘭越町
0481500,01395,北海道,虻田郡ニセコ町
0481600,01396,北海道,虻田郡真狩村
0481700,01397,北海道,虻田郡留寿都村
0440200,01398,北海道,虻田郡喜茂別町
0440100,01399,北海道,虻田郡京極町
0440000,01400,北海道,虻田郡倶知安町
0482200,01401,北海道,岩内郡共和町
0450000,01402,北海道,岩内郡岩内町
0450200,01403,北海道,古宇郡泊村
0450300,01404,北海道,古宇郡神恵内村
0460200,01405,北海道,積丹郡積丹町
0460100,01406,北海道,古平郡古平町
0482400,01407,北海道,余市郡仁木町
0460000,01408,北海道,余市郡余市町
0460500,01409,北海道,余市郡赤井川村
0690200,01423,北海道,空知郡南幌町
0790300,01424,北海道,空知郡奈井江町
0730200,01425,北海道,空知郡上砂川町
0691200,01427,北海道,夕張郡由仁町
0691300,01428,北海道,夕張郡長沼町
0691500,01429,北海道,夕張郡栗山町
0610500,01430,北海道,樺戸郡月形町
0610600,01431,北海道,樺戸郡浦臼町
0731100,01432,北海道,樺戸郡新十津川町
0790500,01433,北海道,雨竜郡妹背牛町
0782100,01434,北海道,雨竜郡秩父別町
0782600,01436,北海道,雨竜郡雨竜町
0782500,01437,北海道,雨竜郡北竜町
0782200,01438,北海道,雨竜郡沼田町
0711200,01452,北海道,上川郡鷹栖町
0711500,01453,北海道,上川郡東神楽町
0781300,01454,北海道,上川郡当麻町
0780300,01455,北海道,上川郡比布町
0781400,01456,北海道,上川郡愛別町
0781700,01457,北海道,上川郡上川町
0711400,01458,北海道,上川郡東川町
0710200,01459,北海道,上川郡美瑛町
0710500,01460,北海道,空知郡上富良野町
0710700,01461,北海道,空知郡中富良野町
0792400,01462,北海道,空知郡南富良野町
0792200,01463,北海道,勇払郡占冠村
0980100,01464,北海道,上川郡和寒町
0980300,01465,北海道,上川郡剣淵町
0981200,01468,北海道,上川郡下川町
0982200,01469,北海道,中川郡美深町
0982500,01470,北海道,中川郡音威子府村
0982800,01471,北海道,中川郡中川町
0740400,01472,北海道,雨竜郡幌加内町
0770200,01481,北海道,増毛郡増毛町
0783300,01482,北海道,留萌郡小平町
0783700,01483,北海道,苫前郡苫前町
0784100,01484,北海道,苫前郡羽幌町
0784400,01485,北海道,苫前郡初山別村
0983500,01486,北海道,天塩郡遠別町
0983300,01487,北海道,天塩郡天塩町
0986200,01511,北海道,宗谷郡猿払村
0985700,01512,北海道,枝幸郡浜頓別町
0985500,01513,北海道,枝幸郡中頓別町
0985800,01514,北海道,枝幸郡枝幸町
0984100,01516,北海道,天塩郡豊富町
0971200,01517,北海道,礼文郡礼文町
0970400,01518,北海道,利尻郡利尻町
0970100,01519,北海道,利尻郡利尻富士町
0983200,01520,北海道,天塩郡幌延町
0920000,01543,北海道,網走郡美幌町
0920200,01544,北海道,網走郡津別町
0994100,01545,北海道,斜里郡斜里町
0994400,01546,北海道,斜里郡清里町
0993600,01547,北海道,斜里郡小清水町
0991400,01549,北海道,常呂郡訓子府町
0991100,01550,北海道,常呂郡置戸町
0930500,01552,北海道,常呂郡佐呂間町
0990400,01555,北海道,紋別郡遠軽町
0996400,01559,北海道,紋別郡湧別町
0995600,01560,北海道,紋別郡滝上町
0981600,01561,北海道,紋別郡興部町
0981500,01562,北海道,紋別郡西興部村
0981700,01563,北海道,紋別郡雄武町
0992300,01564,北海道,網走郡大空町
0495400,01571,北海道,虻田郡豊浦町
0520100,01575,北海道,有珠郡壮瞥町
0590900,01578,北海道,白老郡白老町
0591600,01581,北海道,勇払郡厚真町
0495600,01584,北海道,虻田郡洞爺湖町
0591500,01585,北海道,勇払郡安平町
0540000,01586,北海道,勇払郡むかわ町
0550000,01601,北海道,沙流郡日高町
0550100,01602,北海道,沙流郡平取町
0592400,01604,北海道,新冠郡新冠町
0570000,01607,北海道,浦河郡浦河町
0580000,01608,北海道,様似郡様似町
0580200,01609,北海道,幌泉郡えりも町
0560000,01610,北海道,日高郡新ひだか町
0800100,01631,北海道,河東郡音更町
0801200,01632,北海道,河東郡士幌町
0801400,01633,北海道,河東郡上士幌町
0810200,01634,北海道,河東郡鹿追町
0810000,01635,北海道,上川郡新得町
0890100,01636,北海道,上川郡清水町
0820000,01637,北海道,河西郡芽室町
0891300,01638,北海道,河西郡中札内村
0891500,01639,北海道,河西郡更別村
0892100,01641,北海道,広尾郡大樹町
0892600,01642,北海道,広尾郡広尾町
0890600,01643,北海道,中川郡幕別町
0830000,01644,北海道,中川郡池田町
0895300,01645,北海道,中川郡豊頃町
0893300,01646,北海道,中川郡本別町
0893700,01647,北海道,足寄郡足寄町
0894300,01648,北海道,足寄郡陸別町
0895600,01649,北海道,十勝郡浦幌町
0880600,01661,北海道,釧路郡釧路町
0881100,01662,北海道,厚岸郡厚岸町
0881500,01663,北海道,厚岸郡浜中町
0882300,01664,北海道,川上郡標茶町
0883200,01665,北海道,川上郡弟子屈町
0851200,01667,北海道,阿寒郡鶴居村
0880300,01668,北海道,白糠郡白糠町
0860200,01691,北海道,野付郡別海町
0861100,01692,北海道,標津郡中標津町
0861600,01693,北海道,標津郡標津町
0861800,01694,北海道,目梨郡羅臼町
0380000,02201,青森県,青森市
0360000,02202,青森県,弘前市
0310000,02203,青森県,八戸市
0360300,02204,青森県,黒石市
0370000,02205,青森県,五所川原市
0340000,02206,青森県,十和田市
0330000,02207,青森県,三沢市
0350000,02208,青森県,むつ市
0383100,02209,青森県,つがる市
0360100,02210,青森県,平川市
0393300,02301,青森県,東津軽郡平内町
0301500,02303,青森県,東津軽郡今別町
0301200,02304,青森県,東津軽郡蓬田村
0301400,02307,青森県,東津軽郡外ヶ浜町
0382700,02321,青森県,西津軽郡鰺ヶ沢町
0382300,02323,青森県,西津軽郡深浦町
0361400,02343,青森県,中津軽郡西目屋村
0383800,02361,青森県,南津軽郡藤崎町
0380200,02362,青森県,南津軽郡大鰐町
0381100,02367,青森県,南津軽郡田舎館村
0383600,02381,青森県,北津軽郡板柳町
0383500,02384,青森県,北津軽郡鶴田町
0370300,02387,青森県,北津軽郡中泊町
0393100,02401,青森県,上北郡野辺地町
0392500,02402,青森県,上北郡七戸町
0392300,02405,青森県,上北郡六戸町
0394100,02406,青森県,上北郡横浜町
0392600,02408,青森県,上北郡東北町
0393200,02411,青森県,上北郡六ヶ所村
0392200,02412,青森県,上北郡おいらせ町
0394600,02423,青森県,下北郡大間町
0350000,02424,青森県,下北郡東通村
0394500,02425,青森県,下北郡風間浦村
0394700,02426,青森県,下北郡佐井村
0390100,02441,青森県,三戸郡三戸町
0391500,02442,青森県,三戸郡五戸町
0390200,02443,青森県,三戸郡田子町
0390100,02445,青森県,三戸郡南部町
0391200,02446,青森県,三戸郡階上町
0391800,02450,青森県,三戸郡新郷村
0200000,03201,岩手県,盛岡市
0270000,03202,岩手県,宮古市
0220000,03203,岩手県,大船渡市
0250000,03205,岩手県,花巻市
0240000,03206,岩手県,北上市
0280000,03207,岩手県,久慈市
0280500,03208,岩手県,遠野市
0210000,03209,岩手県,一関市
0292200,03210,岩手県,陸前高田市
0260000,03211,岩手県,釜石市
0286100,03213,岩手県,二戸市
0287100,03214,岩手県,八幡平市
0230000,03215,岩手県,奥州市
0200600,03216,岩手県,滝沢市
0200500,03301,岩手県,岩手郡雫石町
0285400,03302,岩手県,岩手郡葛巻町
0284300,03303,岩手県,岩手郡岩手町
0283300,03321,岩手県,紫波郡紫波町
0283600,03322,岩手県,紫波郡矢巾町
0295500,03366,岩手県,和賀郡西和賀町
0294500,03381,岩手県,胆沢郡金ケ崎町
0294100,03402,岩手県,西磐井郡平泉町
0292300,03441,岩手県,気仙郡住田町
0281100,03461,岩手県,上閉伊郡大槌町
0281300,03482,岩手県,下閉伊郡山田町
0270500,03483,岩手県,下閉伊郡岩泉町
0288400,03484,岩手県,下閉伊郡田野畑村
0288300,03485,岩手県,下閉伊郡普代村
0286300,03501,岩手県,九戸郡軽米町
0288200,03503,岩手県,九戸郡野田村
0286500,03506,岩手県,九戸郡九戸村
0287900,03507,岩手県,九戸郡洋野町
0285300,03524,岩手県,二戸郡一戸町
9800000,04101,宮城県,仙台市青葉区
9830000,04102,宮城県,仙台市宮城野区
9840000,04103,宮城県,仙台市若林区
9820000,04104,宮城県,仙台市太白区
9813100,04105,宮城県,仙台市泉区
9860000,04202,宮城県,石巻市
9850000,04203,宮城県,塩竈市
9880000,04205,宮城県,気仙沼市
9890200,04206,宮城県,白石市
9811200,04207,宮城県,名取市
9811500,04208,宮城県,角田市
9850000,04209,宮城県,多賀城市
9892400,04211,宮城県,岩沼市
9870500,04212,宮城県,登米市
9872200,04213,宮城県,栗原市
9810500,04214,宮城県,東松島市
9896100,04215,宮城県,大崎市
9813300,04216,宮城県,富谷市
9890800,04301,宮城県,刈田郡蔵王町
9890500,04302,宮城県,刈田郡七ヶ宿町
9891200,04321,宮城県,柴田郡大河原町
9891300,04322,宮城県,柴田郡村田町
9891600,04323,宮城県,柴田郡柴田町
9891500,04324,宮城県,柴田郡川崎町
9812100,04341,宮城県,伊具郡丸森町
9892300,04361,宮城県,亘理郡亘理町
9892200,04362,宮城県,亘理郡山元町
9810200,04401,宮城県,宮城郡松島町
9850000,04404,宮城県,宮城郡七ヶ浜町
9810100,04406,宮城県,宮城郡利府町
9813600,04421,宮城県,黒川郡大和町
9813500,04422,宮城県,黒川郡大郷町
9813600,04424,宮城県,黒川郡大衡村
9814100,04444,宮城県,加美郡色麻町
9814200,04445,宮城県,加美郡加美町
9870100,04501,宮城県,遠田郡涌谷町
9870000,04505,宮城県,遠田郡美里町
9862200,04581,宮城県,牡鹿郡女川町
9860700,04606,宮城県,本吉郡南三陸町
0100000,05201,秋田県,秋田市
0160000,05202,秋田県,能代市
0130000,05203,秋田県,横手市
0170000,05204,秋田県,大館市
0100500,05206,秋田県,男鹿市
0120000,05207,秋田県,湯沢市
0185200,05209,秋田県,鹿角市
0150000,05210,秋田県,由利本荘市
0181400,05211,秋田県,潟上市
0140000,05212,秋田県,大仙市
0183300,05213,秋田県,北秋田市
0180400,05214,秋田県,にかほ市
0140300,05215,秋田県,仙北市
0170200,05303,秋田県,鹿角郡小坂町
0184400,05327,秋田県,北秋田郡上小阿仁村
0183200,05346,秋田県,山本郡藤里町
0182400,05348,秋田県,山本郡三種町
0182500,05349,秋田県,山本郡八峰町
0181700,05361,秋田県,南秋田郡五城目町
0181600,05363,秋田県,南秋田郡八郎潟町
0181500,05366,秋田県,南秋田郡井川町
0100400,05368,秋田県,南秋田郡大潟村
0191400,05434,秋田県,仙北郡美郷町
0121100,05463,秋田県,雄勝郡羽後町
0190800,05464,秋田県,雄勝郡東成瀬村
9900000,06201,山形県,山形市
9920000,06202,山形県,米沢市
9970000,06203,山形県,鶴岡市
9980000,06204,山形県,酒田市
9960000,06205,山形県,新庄市
9910000,06206,山形県,寒河江市
9993100,06207,山形県,上山市
9950000,06208,山形県,村山市
9930000,06209,山形県,長井市
9940000,06210,山形県,天童市
9993700,06211,山形県,東根市
9994200,06212,山形県,尾花沢市
9992200,06213,山形県,南陽市
9900300,06301,山形県,東村山郡山辺町
9900400,06302,山形県,東村山郡中山町
9993500,06321,山形県,西村山郡河北町
9900700,06322,山形県,西村山郡西川町
9901400,06323,山形県,西村山郡朝日町
9901100,06324,山形県,西村山郡大江町
9994100,06341,山形県,北村山郡大石田町
9995400,06361,山形県,最上郡金山町
9996100,06362,山形県,最上郡最上町
9994600,06363,山形県,最上郡舟形町
9995300,06364,山形県,最上郡真室川町
9960200,06365,山形県,最上郡大蔵村
9995200,06366,山形県,最上郡鮭川村
9996400,06367,山形県,最上郡戸沢村
9920300,06381,山形県,東置賜郡高畠町
9990100,06382,山形県,東置賜郡川西町
9991300,06401,山形県,西置賜郡小国町
9920800,06402,山形県,西置賜郡白鷹町
9990600,06403,山形県,西置賜郡飯豊町
9971300,06426,山形県,東田川郡三川町
9997700,06428,山形県,東田川郡庄内町
9998300,06461,山形県,飽海郡遊佐町
9600000,07201,福島県,福島市
9650000,07202,福島県,会津若松市
9630000,07203,福島県,郡山市
9700000,07204,福島県,いわき市
9610000,07205,福島県,白河市
9620000,07207,福島県,須賀川市
9660000,07208,福島県,喜多方市
9760000,07209,福島県,相馬市
9640000,07210,福島県,二本松市
9634300,07211,福島県,田村市
9750000,07212,福島県,南相馬市
9600600,07213,福島県,伊達市
9691100,07214,福島県,本宮市
9691600,07301,福島県,伊達郡桑折町
9691700,07303,福島県,伊達郡国見町
9601400,07308,福島県,伊達郡川俣町
9691300,07322,福島県,安達郡大玉村
9690400,07342,福島県,岩瀬郡鏡石町
9620500,07344,福島県,岩瀬郡天栄村
9695300,07362,福島県,南会津郡下郷町
9670500,07364,福島県,南会津郡檜枝岐村
9680400,07367,福島県,南会津郡只見町
9670000,07368,福島県,南会津郡南会津町
9660400,07402,福島県,耶麻郡北塩原村
9694400,07405,福島県,耶麻郡西会津町
9693300,07407,福島県,耶麻郡磐梯町
9693100,07408,福島県,耶麻郡猪苗代町
9696500,07421,福島県,河沼郡会津坂下町
9693500,07422,福島県,河沼郡湯川村
9697200,07423,福島県,河沼郡柳津町
9697500,07444,福島県,大沼郡三島町
9680000,07445,福島県,大沼郡金山町
9680100,07446,福島県,大沼郡昭和村
9696200,07447,福島県,大沼郡会津美里町
9610000,07461,福島県,西白河郡西郷村
9690100,07464,福島県,西白河郡泉崎村
9610100,07465,福島県,西白河郡中島村
9690200,07466,福島県,西白河郡矢吹町
9636100,07481,福島県,東白川郡棚倉町
9635100,07482,福島県,東白川郡矢祭町
9635400,07483,福島県,東白川郡塙町
9638400,07484,福島県,東白川郡鮫川村
9637800,07501,福島県,石川郡石川町
9636300,07502,福島県,石川郡玉川村
9638100,07503,福島県,石川郡平田村
9636200,07504,福島県,石川郡浅川町
9638300,07505,福島県,石川郡古殿町
9637700,07521,福島県,田村郡三春町
9633400,07522,福島県,田村郡小野町
